iter	RMSE
0	187.4456116
1	182.8737792
2	178.6742744
3	174.7785873
4	171.1446907
5	167.7930136
6	164.7053584
7	161.8672908
8	159.2463306
9	156.8563918
10	154.6482078
11	152.6086887
12	150.7586119
13	149.0216931
14	147.4356411
15	145.9872195
16	144.6469019
17	143.3910806
18	142.2781894
19	141.2483065
20	140.2944159
21	139.411346
22	138.6080843
23	137.8781758
24	137.2247733
25	136.6065935
26	136.0288364
27	135.4926461
28	135.0135633
29	134.4637955
30	134.1006434
31	133.7163979
32	133.2208643
33	132.8069818
34	132.4607963
35	132.1587397
36	131.8480483
37	131.6331678
38	131.3516463
39	131.1474855
40	130.9547045
41	130.7051974
42	130.4473265
43	130.2370769
44	130.0194979
45	129.8594308
46	129.6667649
47	129.4704484
48	129.2951893
49	129.1599452
50	129.0104295
51	128.7998305
52	128.6523161
53	128.5130745
54	128.4109482
55	128.2809773
56	128.1586326
57	127.9985228
58	127.8546114
59	127.7623754
60	127.6856904
61	127.54366
62	127.4230289
63	127.3025926
64	127.2147261
65	127.0974974
66	127.0056977
67	126.9097542
68	126.8457548
69	126.7595002
70	126.7025169
71	126.6604692
72	126.5967747
73	126.5378135
74	126.5091276
75	126.3922311
76	126.3460169
77	126.2370053
78	126.1793698
79	126.088612
80	126.0457664
81	125.9838438
82	125.9204891
83	125.8413574
84	125.7633936
85	125.7272339
86	125.6503894
87	125.6192036
88	125.5774036
89	125.5430082
90	125.503107
91	125.4592283
92	125.4097176
93	125.3501351
94	125.2965954
95	125.2359203
96	125.1706754
97	125.116105
98	125.0814399
99	125.0452982
100	125.0068963
101	124.9628348
102	124.9464021
103	124.9075809
104	124.8706854
105	124.8460622
106	124.7875465
107	124.7715597
108	124.696498
109	124.6323151
110	124.5880434
111	124.5613396
112	124.5360935
113	124.5172519
114	124.4648461
115	124.4200981
116	124.4048989
117	124.384813
118	124.3640778
119	124.351474
120	124.3008125
121	124.2659886
122	124.2225463
123	124.1853154
124	124.1679234
125	124.1420153
126	124.1086589
127	124.0533095
128	124.0435476
129	124.0291951
130	123.9982955
131	123.9694489
132	123.9432516
133	123.9132658
134	123.8792547
135	123.8547097
136	123.7938326
137	123.7518854
138	123.7226439
139	123.6982161
140	123.677144
141	123.6442944
142	123.6352559
143	123.6058586
144	123.5829914
145	123.5419068
146	123.5295189
147	123.4935533
148	123.4471176
149	123.4377952
150	123.4194286
151	123.393128
152	123.3807613
153	123.3765296
154	123.3595105
155	123.3394924
156	123.301554
157	123.2869052
158	123.2496815
159	123.2184753
160	123.1996741
161	123.177397
162	123.1697183
163	123.1433058
164	123.1095269
165	123.0930809
166	123.0691814
167	123.0638579
168	123.0596481
169	123.0422477
170	123.0264374
171	123.0092896
172	122.9973931
173	122.9685964
174	122.950928
175	122.9419131
176	122.9345366
177	122.9094555
178	122.9033886
179	122.8986956
180	122.866265
181	122.8232574
182	122.7969676
183	122.7854003
184	122.7701171
185	122.7567373
186	122.7466559
187	122.7191409
188	122.7138143
189	122.6956913
190	122.6691041
191	122.6367026
192	122.5873683
193	122.5772319
194	122.5703987
195	122.5493354
196	122.5304077
197	122.511511
198	122.494895
199	122.4874965
200	122.4813494
201	122.4635417
202	122.4452511
203	122.4433518
204	122.4243174
205	122.4061889
206	122.3891612
207	122.3738492
208	122.3605834
209	122.3497791
210	122.342112
211	122.3353907
212	122.3237375
213	122.3140368
214	122.3085045
215	122.3039355
216	122.2844041
217	122.2793514
218	122.2581446
219	122.2269924
220	122.2094856
221	122.1912355
222	122.1806581
223	122.1786383
224	122.1771386
225	122.15935
226	122.1575705
227	122.149579
228	122.1369353
229	122.133368
230	122.1312608
231	122.1134148
232	122.102086
233	122.0892804
234	122.0558699
235	122.0369685
236	122.0292448
237	122.0201463
238	122.011916
239	122.0095845
240	121.973954
241	121.9641302
242	121.932278
243	121.9303714
244	121.9239634
245	121.919343
246	121.9104774
247	121.8801627
248	121.8642579
249	121.8373994
250	121.8218836
251	121.814781
252	121.8107436
253	121.8057282
254	121.7963911
255	121.794203
256	121.7744076
257	121.7416139
258	121.739728
259	121.7208214
260	121.7117311
261	121.7099419
262	121.7009405
263	121.6941748
264	121.6906984
265	121.6864743
266	121.6815235
267	121.6753461
268	121.6572755
269	121.6384441
270	121.6218797
271	121.6150305
272	121.6132234
273	121.6064832
274	121.5846085
275	121.571743
276	121.5491436
277	121.5383622
278	121.5275019
279	121.5255671
280	121.521219
281	121.5166579
282	121.494412
283	121.4849249
284	121.4804347
285	121.4787126
286	121.4449432
287	121.4188072
288	121.4079396
289	121.3942903
290	121.3815551
291	121.3604853
292	121.3515564
293	121.326113
294	121.3203236
295	121.3186444
296	121.3101262
297	121.2966997
298	121.2950648
299	121.2819244
300	121.2803332
301	121.2696991
302	121.2563224
303	121.2280805
304	121.223382
305	121.2033894
306	121.1985476
307	121.1783499
308	121.1765059
309	121.1749973
310	121.1711342
311	121.1665997
312	121.1634701
313	121.1518867
314	121.1431352
315	121.1348955
316	121.1329965
317	121.1112738
318	121.0812022
319	121.0753876
320	121.0686397
321	121.0453217
322	121.0383491
323	121.0236812
324	121.0153257
325	121.0113989
326	120.9999912
327	120.9985466
328	120.9943506
329	120.9749596
330	120.9725196
331	120.9633361
332	120.9438477
333	120.9248984
334	120.8942709
335	120.8928091
336	120.8697523
337	120.8650938
338	120.8636685
339	120.831796
340	120.8174088
341	120.8146102
342	120.7952525
343	120.7859857
344	120.7590024
345	120.7576156
346	120.754634
347	120.7532817
348	120.7469438
349	120.7433381
350	120.716306
351	120.7121872
352	120.6971102
353	120.6899622
354	120.686742
355	120.6766903
356	120.6589818
357	120.6497907
358	120.6365183
359	120.6322846
360	120.6101537
361	120.597131
362	120.5929703
363	120.5899197
364	120.5830702
365	120.5679789
366	120.5666583
367	120.5632937
368	120.5616722
369	120.5539635
370	120.5504359
371	120.5305834
372	120.5248505
373	120.5202825
374	120.5134388
375	120.5082142
376	120.5057237
377	120.5044575
378	120.4783856
379	120.4572804
380	120.451834
381	120.4386284
382	120.4366274
383	120.4319702
384	120.4262759
385	120.4186267
386	120.4136594
387	120.3998835
388	120.3986859
389	120.3965136
390	120.3921391
391	120.3909458
392	120.3851303
393	120.3710658
394	120.366102
395	120.3610292
396	120.3373318
397	120.3331221
398	120.3319758
399	120.3235167
