iter	Passed	Remaining
0	77	31050
1	91	18172
2	101	13471
3	115	11413
4	134	10599
5	149	9829
6	164	9218
7	178	8770
8	194	8430
9	209	8158
10	224	7953
11	240	7761
12	255	7599
13	270	7447
14	284	7300
15	300	7209
16	317	7151
17	337	7152
18	352	7059
19	366	6966
20	381	6885
21	396	6807
22	410	6733
23	425	6673
24	440	6609
25	454	6539
26	467	6461
27	482	6411
28	498	6379
29	514	6346
30	533	6353
31	548	6305
32	562	6258
33	576	6210
34	591	6168
35	605	6121
36	619	6075
37	633	6030
38	647	5998
39	661	5950
40	674	5905
41	688	5871
42	704	5851
43	719	5819
44	734	5796
45	748	5756
46	761	5718
47	776	5696
48	791	5672
49	805	5638
50	820	5611
51	835	5591
52	850	5567
53	865	5546
54	882	5535
55	897	5514
56	912	5493
57	928	5472
58	942	5444
59	956	5419
60	973	5411
61	987	5384
62	1002	5360
63	1015	5333
64	1031	5317
65	1046	5294
66	1060	5269
67	1075	5249
68	1088	5221
69	1102	5195
70	1116	5173
71	1130	5148
72	1142	5119
73	1156	5096
74	1170	5073
75	1185	5055
76	1199	5029
77	1214	5015
78	1229	4996
79	1243	4975
80	1256	4948
81	1270	4926
82	1284	4907
83	1300	4891
84	1315	4875
85	1328	4850
86	1340	4822
87	1353	4800
88	1367	4778
89	1380	4756
90	1394	4735
91	1407	4713
92	1422	4695
93	1434	4670
94	1448	4649
95	1464	4638
96	1481	4628
97	1495	4608
98	1507	4583
99	1520	4560
100	1532	4536
101	1545	4515
102	1559	4495
103	1573	4477
104	1588	4463
105	1600	4439
106	1614	4421
107	1629	4405
108	1643	4388
109	1657	4369
110	1672	4353
111	1686	4335
112	1702	4324
113	1719	4312
114	1736	4303
115	1751	4289
116	1765	4270
117	1780	4254
118	1794	4237
119	1809	4222
120	1826	4210
121	1843	4201
122	1860	4189
123	1875	4175
124	1890	4158
125	1906	4145
126	1920	4128
127	1934	4110
128	1949	4095
129	1965	4081
130	1983	4073
131	1998	4058
132	2017	4051
133	2032	4034
134	2047	4019
135	2062	4003
136	2079	3991
137	2091	3970
138	2105	3954
139	2119	3936
140	2132	3916
141	2145	3898
142	2157	3876
143	2170	3859
144	2185	3844
145	2200	3828
146	2215	3813
147	2229	3796
148	2246	3783
149	2260	3767
150	2273	3749
151	2286	3730
152	2300	3713
153	2314	3696
154	2326	3677
155	2339	3658
156	2351	3640
157	2365	3622
158	2380	3607
159	2396	3594
160	2411	3579
161	2425	3563
162	2438	3545
163	2451	3527
164	2465	3511
165	2479	3494
166	2493	3479
167	2507	3462
168	2520	3445
169	2533	3427
170	2546	3410
171	2560	3394
172	2574	3378
173	2588	3362
174	2603	3347
175	2618	3332
176	2631	3315
177	2645	3299
178	2657	3281
179	2670	3264
180	2685	3249
181	2699	3233
182	2713	3217
183	2727	3201
184	2741	3186
