CASE_NUMBER,VISA_STATUS,EMPLOYER_NAME,PREVAILING_WAGE_SUBMITTED,PREVAILING_WAGE_SUBMITTED_UNIT,PAID_WAGE_SUBMITTED,PAID_WAGE_SUBMITTED_UNIT,JOB_TITLE,WORK_CITY,PREVAILING_WAGE_SOC_CODE,PREVAILING_WAGE_SOC_TITLE,WORK_STATE,FULL_TIME_POSITION_Y_N,VISA_CLASS,JOB_TITLE_SUBGROUP,order,CASE_RECEIVED_DATE,Decision_Date,Processing_Time_Days
I-200-14094-683095,certified,"USM BUSINESS SYSTEMS, INC",48464.0,year,60000.0,year,SOFTWARE ENGINEER,ST. LOUIS,15-1131,Computer Programmers,MO,y,H-1B,software engineer,142621,04-Apr-14,04-Oct-14,183
I-200-15075-388797,certified,DHK MANAGEMENT LLC,51875.0,year,52000.0,year,BUSINESS ANALYST,SOMERSET,13-1161,MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS,NJ,y,H-1B,business analyst,136609,16-Mar-15,20-Mar-15,4
I-200-13212-445300,certified,"QUALCOMM TECHNOLOGIES, INC.",109886.4,year,109886.4,year,STAFF SOFTWARE ENGINEER,SAN DIEGO,15-1133,"Software Developers, Systems Software",CA,y,H-1B,software engineer,15751,08-May-13,08-Sep-13,123
I-200-14266-763914,certified,SHIPBOB INC.,32.29,hour,32.29,hour,SOFTWARE ENGINEER,CHICAGO,15-1132,"Software Developers, Applications",IL,n,H-1B,software engineer,92439,23-Sep-14,29-Sep-14,6
I-200-15050-927860,certified,"BROOKS BROTHERS GROUP, INC",60029.0,year,80000.0,year,BUSINESS ANALYST,NEW YORK,13-1161,MARKET RESEARCH ANALYSTS AND MARKETING,NY,y,H-1B,business analyst,115067,19-Feb-15,03-Feb-15,16
I-200-13315-212642,withdrawn,SHENGJIN YANG,39.65,hour,39.7,hour,ATTORNEY,FLUSHING,23-1011,Lawyers,NY,n,H-1B,attorney,56800,11-Nov-13,15-Nov-13,4
I-200-11276-885849,certified,"UNIVERSITY OF CALIFORNIA, MERCED",78600.0,year,81000.0,year,ASSISTANT PROFESSOR,MERCED,25-1032,"Engineering Teachers, Postsecondary",CA,y,H-1B,assistant professor,64420,10-May-11,10-Dec-11,214
I-200-15068-283272,certified,"HERE NORTH AMERICA, LLC",81432.0,year,90000.0,year,SENIOR SOFTWARE ENGINEER,CHICAGO,15-1133,"Software Developers, Systems Software",IL,y,H-1B,software engineer,58820,03-Oct-15,16-Mar-15,201
I-200-14353-847843,certified,BIRLASOFT INC,55411.0,year,55411.0,year,SOFTWARE ENGINEER,DANBURY,15-1132,"Software Developers, Applications",CT,y,H-1B,software engineer,129205,19-Dec-14,26-Dec-14,7
I-200-12304-470181,certified,"NOBLESOFT SOLUTIONS, INC.",50773.0,year,59000.0,year,BUSINESS ANALYST,PITTSBURGH,15-1121,Computer Systems Analysts,PA,y,H-1B,business analyst,138265,30-Oct-12,11-May-12,172
I-200-11307-200319,certified,"INFOR GLOBAL SOLUTIONS, INC.",91437.0,year,103000.0,year,SR. IT SOFTWARE ENGINEER,ALPHARETTA,15-1132,"Software Developers, Applications",GA,y,H-1B,software engineer,40277,11-Mar-11,11-Sep-11,184
I-200-14316-596834,certified,"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.",88858.0,year,90000.0,year,SOFTWARE ENGINEER,SALT LAKE CITY,15-1132,"Software Developers, Applications",UT,y,H-1B,software engineer,44622,11-Dec-14,18-Nov-14,23
I-200-13250-530769,certified,"LEPORT EDUCATIONAL INSTITUTE, INC.",46450.0,year,46450.0,year,MONTESSORI TEACHER,IRVINE,25-2012,"Kindergarten Teachers, Except Special Education",CA,y,H-1B,teacher,146337,09-Jul-13,09-Dec-13,153
I-200-14134-680915,certified,CERNER CORPORATION,60258.0,year,67000.0,year,SOFTWARE ENGINEER,NORTH KANSAS CITY,15-1132,"Software Developers, Applications",MO,y,H-1B,software engineer,114481,14-May-14,20-May-14,6
I-200-14164-003079,certified,"SERVICENOW, INC.",111424.0,year,111424.0,year,SENIOR SOFTWARE ENGINEER,SANTA CLARA,15-1132,"Software Developers, Applications",CA,y,H-1B,software engineer,14581,16-Jun-14,20-Jun-14,4
I-200-14259-356810,certified,GOOGLE INC.,115500.0,year,135000.0,year,SOFTWARE ENGINEER,MOUNTAIN VIEW,15-1132,"Software Developers, Applications",CA,y,H-1B,software engineer,10694,24-Sep-14,30-Sep-14,6
A-14356-37126,certified,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,67475.0,year,67475.0,year,Business Analyst - II,College Station,15-1132,"Software Developers, Applications",TEXAS,,greencard,business analyst,91705,23-Dec-14,30-Jun-15,189
I-200-14057-065018,certified,"SASKEN COMMUNICATION TECHNOLOGIES, LTD.",62712.0,year,70000.0,year,SOFTWARE ENGINEER,CHICAGO,15-1132,"Software Developers, Applications",IL,y,H-1B,software engineer,103833,26-Feb-14,03-Apr-14,36
I-200-13070-910479,certified,ASTIR IT SOLUTIONS INC.,60736.0,year,61000.0,year,BUSINESS ANALYST,SOUTH PLAINFIELD,15-1121,Computer Systems Analysts,NJ,y,H-1B,business analyst,111582,03-Nov-13,16-Dec-13,43
I-200-14076-378930,certified,HARMONY SCHOOL OF INNOVATION-FORT WORTH,45540.0,year,45540.0,year,SCIENCE TEACHER,FORT WORTH,25-2031,"Secondary School Teachers, Except Special and Care",TX,y,H-1B,teacher,147887,17-Mar-14,21-Mar-14,4
